Date,S,V,Implied_Volatility,Delta,Hedging Error,PNL,PNL with HE
2011-07-05,532.44,44.2,0.2758,0.8099,0.0000,0,0
2011-07-06,535.36,46.9,0.2850,0.8151,2.0729,-2.70,-0.6271
2011-07-07,546.6,55.3,0.2865,0.8583,10.9406,-11.10,-0.1594
2011-07-08,531.99,43.95,0.2817,0.7960,-1.9286,0.25,-1.6786
2011-07-11,527.28,41,0.2889,0.7707,-5.9349,3.20,-2.7349
2011-07-12,534.01,46.4,0.3004,0.7970,-0.9963,-2.20,-3.1963
2011-07-13,538.26,49.3,0.2988,0.8079,2.1175,-5.10,-2.9825
2011-07-14,528.94,41.15,0.2829,0.7747,-5.6591,3.05,-2.6091
2011-07-15,597.62,99.65,0.2943,0.9577,47.3269,-55.45,-8.1231
2011-07-18,594.94,97.65,0.3125,0.9463,44.4739,-53.45,-8.9761
2011-07-19,602.55,103.8,0.2824,0.9727,51.3926,-59.60,-8.2074
2011-07-20,595.35,97.8,0.3154,0.9534,44.0582,-53.60,-9.5418
2011-07-21,606.99,108.15,0.2951,0.9760,54.7941,-63.95,-9.1559
2011-07-22,618.23,118.7,0.2753,0.9893,65.3730,-74.50,-9.1270
2011-07-25,618.98,119.95,0.3145,0.9801,65.7164,-75.75,-10.0336
2011-07-26,622.52,123.25,0.3103,0.9847,68.7915,-79.05,-10.2585
2011-07-27,607.22,108.65,0.3235,0.9710,53.3088,-64.45,-11.1412
2011-07-28,610.94,112.1,0.3222,0.9757,56.5106,-67.90,-11.3894
2011-07-29,603.69,106.8,0.3853,0.9444,49.0238,-62.60,-13.5762